transaction_id,user_id,transaction_date,transaction_year,transaction_month,merchant,category,amount,is_debit,status,state,account_type,acquisition_channel,risk_segment
T000027,U0039,2024-10-19,2024,2024-10,one medical,healthcare,370.32,1,completed,il,savings,influencer,low_risk
T000028,U0140,2023-05-24,2023,2023-05,at&t,utilities,360.72,1,completed,az,checking,influencer,medium_risk
T000029,U0192,2023-02-04,2023,2023-02,uber eats,food & dining,419.86,1,completed,wa,savings,organic,low_risk
T000030,U0195,2024-02-27,2024,2024-02,starbucks,food & dining,70.47,1,completed,co,checking,referral,medium_risk
T000031,U0090,2023-01-10,2023,2023-01,target,shopping,110.92,1,completed,tx,premium,paid_social,low_risk
T000032,U0090,2024-10-15,2024,2024-10,uber eats,food & dining,334.04,1,completed,tx,premium,paid_social,low_risk
T000033,U0095,2023-01-17,2023,2023-01,cash app,transfer,33.09,1,completed,il,premium,paid_social,medium_risk
T000034,U0326,2024-06-26,2024,2024-06,starbucks,food & dining,361.65,1,completed,az,checking,paid_social,low_risk
T000035,U0480,2024-05-29,2024,2024-05,cvs pharmacy,healthcare,406.95,1,completed,co,checking,paid_search,medium_risk
T000036,U0408,2023-04-09,2023,2023-04,delta airlines,travel,263.14,1,completed,ny,checking,influencer,medium_risk
T000037,U0102,2023-10-01,2023,2023-10,zocdoc,healthcare,397.88,1,completed,fl,premium,paid_search,medium_risk
T000038,U0337,2024-08-01,2024,2024-08,freelance payment,income,2702.46,0,completed,az,checking,paid_search,medium_risk
T000039,U0481,2024-10-31,2024,2024-10,cvs pharmacy,healthcare,495.85,1,completed,il,savings,influencer,medium_risk
T000040,U0094,2024-02-20,2024,2024-02,starbucks,food & dining,190.87,1,completed,fl,savings,paid_search,low_risk
T000041,U0027,2024-12-20,2024,2024-12,starbucks,food & dining,87.35,1,completed,ny,premium,influencer,medium_risk
T000042,U0117,2023-12-06,2023,2023-12,venmo transfer,income,4961.0,0,completed,ny,checking,referral,low_risk
T000043,U0209,2023-02-13,2023,2023-02,apple store,shopping,116.42,1,pending,ca,savings,paid_search,medium_risk
T000044,U0125,2023-02-17,2023,2023-02,zelle,transfer,1849.84,1,completed,ma,premium,referral,medium_risk
T000045,U0210,2024-07-31,2024,2024-07,cigna,healthcare,329.74,1,completed,ma,premium,referral,medium_risk
T000046,U0088,2023-08-01,2023,2023-08,comcast,utilities,294.34,1,completed,ny,savings,paid_social,medium_risk
T000047,U0071,2023-11-03,2023,2023-11,employer direct deposit,income,2137.15,0,completed,ny,checking,paid_social,medium_risk
T000048,U0495,2024-07-07,2024,2024-07,venmo transfer,income,3322.11,0,completed,ma,checking,influencer,medium_risk
T000049,U0094,2024-05-27,2024,2024-05,delta airlines,travel,373.24,1,completed,fl,savings,paid_search,low_risk
T000050,U0012,2023-08-26,2023,2023-08,nike,shopping,419.66,1,completed,fl,savings,organic,high_risk
T000051,U0068,2023-01-31,2023,2023-01,freelance payment,income,5438.86,0,completed,il,checking,referral,high_risk
T000052,U0099,2023-08-22,2023,2023-08,cash app,transfer,724.51,1,pending,az,premium,paid_social,high_risk
T000053,U0162,2024-11-27,2024,2024-11,employer direct deposit,income,5101.13,0,completed,ca,premium,influencer,low_risk
T000054,U0174,2023-03-17,2023,2023-03,walgreens,healthcare,42.85,1,completed,tx,checking,referral,low_risk
T000055,U0113,2023-11-21,2023,2023-11,lyft,travel,181.63,1,completed,ma,premium,paid_search,medium_risk
T000056,U0156,2024-01-04,2024,2024-01,one medical,healthcare,381.15,1,completed,ga,savings,paid_search,medium_risk
T000057,U0364,2024-03-17,2024,2024-03,target,shopping,225.52,1,completed,ga,savings,referral,low_risk
T000058,U0234,2023-01-27,2023,2023-01,employer direct deposit,income,1627.33,0,completed,ca,savings,paid_search,low_risk
T000059,U0071,2023-01-13,2023,2023-01,national grid,utilities,147.34,1,completed,ny,checking,paid_social,medium_risk
T000060,U0462,2023-09-06,2023,2023-09,apple store,shopping,286.84,1,completed,il,savings,organic,low_risk
T000061,U0451,2023-05-23,2023,2023-05,employer direct deposit,income,2882.43,0,completed,il,savings,paid_social,low_risk
T000062,U0302,2023-06-21,2023,2023-06,delta airlines,travel,218.47,1,completed,az,savings,influencer,low_risk
T000063,U0320,2024-01-05,2024,2024-01,venmo,transfer,518.37,1,completed,ga,checking,organic,low_risk
T000064,U0222,2024-09-23,2024,2024-09,bank transfer,transfer,407.19,1,completed,az,premium,referral,medium_risk
T000065,U0120,2024-02-10,2024,2024-02,cvs pharmacy,healthcare,167.44,1,completed,ma,savings,influencer,medium_risk
T000066,U0151,2023-12-09,2023,2023-12,national grid,utilities,216.45,1,completed,ga,checking,influencer,medium_risk
T000067,U0228,2023-11-25,2023,2023-11,uber,travel,302.4,1,completed,co,checking,referral,low_risk
T000068,U0471,2023-07-01,2023,2023-07,zelle,transfer,1929.86,1,pending,wa,premium,referral,medium_risk
T000069,U0400,2024-08-12,2024,2024-08,one medical,healthcare,391.42,1,completed,az,checking,referral,medium_risk
T000070,U0030,2024-01-09,2024,2024-01,one medical,healthcare,58.72,1,completed,ga,checking,paid_social,medium_risk
T000071,U0099,2023-01-28,2023,2023-01,marriott,travel,476.6,1,completed,az,premium,paid_social,high_risk
T000072,U0162,2023-10-26,2023,2023-10,amc theatres,entertainment,415.98,1,completed,ca,premium,influencer,low_risk
T000073,U0429,2024-05-26,2024,2024-05,venmo transfer,income,1974.25,0,completed,il,savings,influencer,low_risk
T000074,U0003,2024-03-09,2024,2024-03,walgreens,healthcare,394.96,1,completed,ca,checking,organic,medium_risk
T000075,U0184,2024-02-15,2024,2024-02,bank transfer,transfer,1078.05,1,pending,ma,premium,paid_social,medium_risk
T000076,U0389,2023-02-07,2023,2023-02,venmo transfer,income,6535.05,0,completed,fl,checking,referral,low_risk
T000077,U0176,2023-09-12,2023,2023-09,amazon,shopping,329.49,1,completed,wa,checking,referral,medium_risk
T000078,U0229,2024-10-22,2024,2024-10,uber eats,food & dining,339.38,1,completed,az,savings,paid_social,medium_risk
T000079,U0082,2023-04-19,2023,2023-04,national grid,utilities,7.25,1,completed,az,premium,referral,medium_risk
T000080,U0331,2024-01-19,2024,2024-01,amc theatres,entertainment,196.78,1,completed,ma,premium,paid_social,medium_risk
T000081,U0245,2023-01-26,2023,2023-01,uber,travel,242.42,1,completed,co,premium,paid_social,medium_risk
T000082,U0096,2023-05-26,2023,2023-05,amazon,shopping,175.47,1,completed,wa,premium,paid_social,medium_risk
T000083,U0035,2024-05-09,2024,2024-05,espn+,entertainment,175.45,1,completed,ny,premium,paid_search,low_risk
T000084,U0045,2023-03-10,2023,2023-03,zelle,transfer,614.52,1,completed,az,savings,referral,low_risk
T000085,U0035,2023-12-18,2023,2023-12,amazon,shopping,324.69,1,completed,ny,premium,paid_search,low_risk
T000086,U0290,2024-06-12,2024,2024-06,airbnb,travel,88.88,1,completed,az,premium,organic,medium_risk
T000087,U0195,2023-08-26,2023,2023-08,freelance payment,income,6584.29,0,completed,co,checking,referral,medium_risk
T000088,U0406,2024-02-10,2024,2024-02,lyft,travel,16.54,1,completed,tx,checking,influencer,medium_risk
T000089,U0131,2024-08-29,2024,2024-08,amc theatres,entertainment,215.92,1,completed,ca,premium,influencer,medium_risk
T000090,U0049,2023-10-13,2023,2023-10,spotify,entertainment,376.66,1,completed,fl,checking,referral,high_risk
T000091,U0135,2023-04-15,2023,2023-04,apple store,shopping,400.15,1,completed,ny,premium,referral,low_risk
T000092,U0472,2023-07-21,2023,2023-07,con edison,utilities,229.86,1,completed,ma,savings,influencer,high_risk
T000093,U0454,2024-10-16,2024,2024-10,bank transfer,transfer,640.54,1,completed,ny,savings,paid_search,low_risk
T000094,U0068,2023-04-27,2023,2023-04,venmo transfer,income,3435.47,0,completed,il,checking,referral,high_risk
T000095,U0052,2024-09-21,2024,2024-09,uber,travel,295.9,1,completed,ca,checking,referral,low_risk
T000096,U0147,2023-09-02,2023,2023-09,comcast,utilities,154.08,1,completed,wa,savings,referral,low_risk
T000097,U0243,2024-02-02,2024,2024-02,marriott,travel,210.28,1,completed,ny,premium,referral,low_risk
T000098,U0001,2023-07-10,2023,2023-07,freelance payment,income,4406.69,0,completed,ny,checking,paid_social,low_risk
T000099,U0254,2023-06-20,2023,2023-06,marriott,travel,245.84,1,completed,fl,checking,paid_search,medium_risk
T000100,U0064,2024-09-26,2024,2024-09,national grid,utilities,28.7,1,completed,il,checking,paid_social,low_risk
T000101,U0308,2023-05-20,2023,2023-05,doordash,food & dining,99.17,1,completed,ga,premium,organic,medium_risk
T000102,U0350,2024-12-02,2024,2024-12,cash app,transfer,993.62,1,completed,ca,savings,paid_search,low_risk
T000103,U0388,2023-06-21,2023,2023-06,cash app,transfer,183.69,1,completed,co,checking,influencer,medium_risk
T000104,U0022,2023-02-03,2023,2023-02,steam,entertainment,138.88,1,completed,ma,premium,paid_search,medium_risk
T000105,U0355,2024-08-02,2024,2024-08,lyft,travel,371.77,1,completed,az,savings,organic,medium_risk
T000106,U0228,2023-04-27,2023,2023-04,apple store,shopping,135.41,1,completed,co,checking,referral,low_risk
T000107,U0375,2023-02-12,2023,2023-02,t-mobile,utilities,380.48,1,completed,ny,checking,paid_social,low_risk
T000108,U0358,2023-04-15,2023,2023-04,amc theatres,entertainment,368.52,1,completed,az,savings,referral,medium_risk
T000109,U0457,2023-02-03,2023,2023-02,steam,entertainment,225.97,1,completed,fl,checking,organic,medium_risk
T000110,U0217,2023-05-01,2023,2023-05,nike,shopping,388.26,1,completed,wa,checking,organic,low_risk
T000111,U0388,2024-10-09,2024,2024-10,t-mobile,utilities,215.23,1,completed,co,checking,influencer,medium_risk
T000112,U0369,2023-03-02,2023,2023-03,spotify,entertainment,285.9,1,completed,fl,savings,paid_social,medium_risk
T000113,U0487,2024-12-21,2024,2024-12,uber,travel,147.73,1,completed,co,checking,influencer,medium_risk
T000115,U0044,2023-09-13,2023,2023-09,airbnb,travel,74.83,1,completed,fl,premium,referral,medium_risk
T000116,U0447,2024-05-16,2024,2024-05,amc theatres,entertainment,72.8,1,completed,ga,savings,influencer,low_risk
T000117,U0158,2024-04-07,2024,2024-04,freelance payment,income,1528.61,0,completed,fl,checking,referral,medium_risk
T000118,U0333,2024-06-11,2024,2024-06,nike,shopping,375.4,1,completed,fl,checking,referral,low_risk
T000119,U0225,2024-05-14,2024,2024-05,national grid,utilities,164.99,1,completed,wa,premium,influencer,medium_risk
T000120,U0102,2024-10-12,2024,2024-10,nike,shopping,332.74,1,completed,fl,premium,paid_search,medium_risk
T000121,U0293,2024-02-12,2024,2024-02,apple store,shopping,110.48,1,completed,ma,savings,referral,low_risk
T000122,U0094,2023-10-02,2023,2023-10,amc theatres,entertainment,162.79,1,completed,fl,savings,paid_search,low_risk
T000123,U0416,2024-05-11,2024,2024-05,marriott,travel,394.58,1,completed,wa,savings,referral,low_risk
T000124,U0346,2023-04-12,2023,2023-04,starbucks,food & dining,313.84,1,completed,ny,checking,paid_search,low_risk
T000125,U0295,2023-06-11,2023,2023-06,starbucks,food & dining,221.76,1,completed,az,savings,influencer,low_risk
T000126,U0226,2024-12-06,2024,2024-12,employer direct deposit,income,7365.85,0,completed,il,premium,paid_social,medium_risk
T000127,U0463,2023-10-08,2023,2023-10,walgreens,healthcare,48.48,1,completed,az,checking,influencer,low_risk
T000128,U0277,2024-11-11,2024,2024-11,walmart,shopping,452.09,1,completed,tx,premium,organic,medium_risk
T000129,U0249,2023-11-09,2023,2023-11,venmo transfer,income,6081.92,0,completed,ga,savings,influencer,medium_risk
T000130,U0158,2023-04-04,2023,2023-04,venmo transfer,income,5925.89,0,completed,fl,checking,referral,medium_risk
T000131,U0266,2023-05-16,2023,2023-05,venmo,transfer,1195.49,1,completed,ca,savings,paid_search,low_risk
T000132,U0123,2023-01-09,2023,2023-01,venmo,transfer,1397.28,1,completed,az,checking,paid_search,medium_risk
T000133,U0334,2023-05-16,2023,2023-05,venmo transfer,income,4343.9,0,completed,ny,premium,influencer,low_risk
T000134,U0082,2023-04-16,2023,2023-04,amazon,shopping,158.05,1,completed,az,premium,referral,medium_risk
T000135,U0031,2023-05-17,2023,2023-05,lyft,travel,321.5,1,completed,az,checking,referral,medium_risk
T000136,U0454,2024-07-30,2024,2024-07,apple store,shopping,6.22,1,completed,ny,savings,paid_search,low_risk
T000137,U0217,2023-08-07,2023,2023-08,zelle,transfer,1263.6,1,completed,wa,checking,organic,low_risk
T000138,U0199,2024-12-04,2024,2024-12,venmo transfer,income,4096.69,0,completed,co,checking,referral,medium_risk
T000139,U0058,2023-05-07,2023,2023-05,target,shopping,295.61,1,completed,ca,checking,influencer,low_risk
T000140,U0142,2023-05-24,2023,2023-05,freelance payment,income,2734.5,0,completed,il,checking,paid_search,low_risk
T000141,U0297,2024-09-07,2024,2024-09,espn+,entertainment,300.8,1,completed,wa,checking,referral,medium_risk
T000142,U0206,2023-07-30,2023,2023-07,chipotle,food & dining,259.84,1,completed,ga,savings,paid_social,low_risk
T000143,U0308,2024-10-23,2024,2024-10,freelance payment,income,1381.98,0,completed,ga,premium,organic,medium_risk
T000144,U0339,2024-01-31,2024,2024-01,amc theatres,entertainment,58.15,1,completed,fl,premium,referral,medium_risk
T000145,U0321,2023-01-13,2023,2023-01,apple store,shopping,493.47,1,pending,ny,premium,referral,high_risk
T000146,U0008,2024-08-05,2024,2024-08,lyft,travel,211.59,1,completed,il,savings,influencer,low_risk
T000147,U0010,2023-03-16,2023,2023-03,lyft,travel,10.31,1,completed,ny,premium,paid_social,medium_risk
T000148,U0016,2023-02-10,2023,2023-02,walgreens,healthcare,461.44,1,pending,tx,savings,paid_search,low_risk
T000149,U0216,2023-10-21,2023,2023-10,venmo transfer,income,5399.99,0,completed,ga,checking,influencer,low_risk
T000150,U0013,2024-12-19,2024,2024-12,freelance payment,income,3815.94,0,completed,ma,savings,paid_search,medium_risk
T000151,U0227,2023-03-27,2023,2023-03,uber,travel,156.33,1,completed,wa,savings,paid_social,medium_risk
T000152,U0500,2024-07-03,2024,2024-07,spotify,entertainment,164.72,1,completed,ny,checking,paid_search,medium_risk
T000153,U0381,2024-12-16,2024,2024-12,walmart,shopping,219.87,1,pending,co,checking,referral,low_risk
T000154,U0281,2023-09-08,2023,2023-09,netflix,entertainment,44.93,1,completed,tx,premium,paid_search,low_risk
T000155,U0127,2024-09-15,2024,2024-09,bank transfer,transfer,128.96,1,completed,az,premium,organic,medium_risk
T000156,U0337,2023-01-13,2023,2023-01,delta airlines,travel,354.53,1,completed,az,checking,paid_search,medium_risk
T000157,U0185,2023-12-22,2023,2023-12,lyft,travel,262.46,1,completed,ny,checking,influencer,medium_risk
T000158,U0041,2024-01-16,2024,2024-01,walgreens,healthcare,65.21,1,completed,fl,premium,referral,low_risk
T000159,U0334,2023-01-31,2023,2023-01,cvs pharmacy,healthcare,168.84,1,completed,ny,premium,influencer,low_risk
T000160,U0294,2024-12-30,2024,2024-12,walmart,shopping,487.58,1,completed,il,savings,organic,medium_risk
T000161,U0054,2024-06-07,2024,2024-06,cash app,transfer,733.05,1,completed,ma,checking,paid_search,low_risk
T000162,U0093,2023-06-11,2023,2023-06,uber,travel,129.05,1,completed,ma,checking,influencer,medium_risk
T000163,U0020,2024-06-05,2024,2024-06,target,shopping,3.28,1,completed,ma,premium,paid_search,medium_risk
T000164,U0252,2023-02-17,2023,2023-02,mcdonalds,food & dining,236.94,1,completed,co,savings,referral,medium_risk
T000165,U0429,2023-02-06,2023,2023-02,airbnb,travel,277.33,1,pending,il,savings,influencer,low_risk
T000166,U0488,2023-11-26,2023,2023-11,employer direct deposit,income,2737.84,0,pending,co,checking,influencer,low_risk
T000167,U0354,2023-03-21,2023,2023-03,con edison,utilities,286.62,1,completed,fl,savings,organic,low_risk
T000169,U0186,2024-04-21,2024,2024-04,employer direct deposit,income,7062.23,0,completed,wa,premium,organic,low_risk
T000170,U0373,2023-03-30,2023,2023-03,zocdoc,healthcare,277.44,1,completed,ga,savings,organic,medium_risk
T000171,U0032,2024-07-31,2024,2024-07,steam,entertainment,392.68,1,completed,ga,premium,organic,medium_risk
T000172,U0165,2024-01-13,2024,2024-01,amc theatres,entertainment,296.66,1,completed,co,savings,paid_social,medium_risk
T000173,U0070,2023-09-09,2023,2023-09,espn+,entertainment,76.98,1,pending,ga,checking,influencer,low_risk
T000174,U0211,2024-07-08,2024,2024-07,mcdonalds,food & dining,174.52,1,completed,tx,premium,influencer,medium_risk
T000175,U0104,2023-01-02,2023,2023-01,chipotle,food & dining,379.95,1,completed,il,checking,referral,medium_risk
T000176,U0179,2023-07-30,2023,2023-07,cvs pharmacy,healthcare,265.85,1,completed,fl,premium,referral,low_risk
T000177,U0428,2023-05-26,2023,2023-05,venmo,transfer,1429.07,1,completed,az,checking,referral,medium_risk
T000178,U0427,2024-02-27,2024,2024-02,espn+,entertainment,351.02,1,completed,ga,savings,influencer,low_risk
T000179,U0152,2023-04-08,2023,2023-04,apple store,shopping,253.7,1,completed,fl,premium,paid_search,medium_risk
T000180,U0218,2024-08-29,2024,2024-08,employer direct deposit,income,4974.75,0,completed,ny,savings,referral,medium_risk
T000181,U0126,2023-10-26,2023,2023-10,airbnb,travel,131.97,1,completed,az,premium,organic,medium_risk
T000182,U0246,2023-12-01,2023,2023-12,venmo transfer,income,3226.4,0,completed,tx,checking,organic,medium_risk
T000183,U0308,2023-05-20,2023,2023-05,target,shopping,390.41,1,completed,ga,premium,organic,medium_risk
T000184,U0057,2023-06-18,2023,2023-06,delta airlines,travel,225.88,1,completed,az,premium,influencer,medium_risk
T000185,U0102,2024-01-02,2024,2024-01,apple store,shopping,482.39,1,completed,fl,premium,paid_search,medium_risk
T000186,U0023,2023-09-29,2023,2023-09,one medical,healthcare,426.54,1,completed,ga,savings,organic,medium_risk
T000187,U0438,2023-02-11,2023,2023-02,cigna,healthcare,109.08,1,completed,ca,premium,paid_search,medium_risk
T000188,U0355,2024-12-29,2024,2024-12,delta airlines,travel,125.61,1,completed,az,savings,organic,medium_risk
T000189,U0229,2023-09-24,2023,2023-09,chipotle,food & dining,410.4,1,completed,az,savings,paid_social,medium_risk
T000190,U0249,2024-07-23,2024,2024-07,freelance payment,income,6236.55,0,completed,ga,savings,influencer,medium_risk
T000191,U0469,2023-05-24,2023,2023-05,venmo,transfer,260.48,1,completed,wa,checking,organic,medium_risk
T000192,U0350,2023-07-22,2023,2023-07,spotify,entertainment,412.19,1,completed,ca,savings,paid_search,low_risk
T000193,U0301,2024-08-23,2024,2024-08,apple store,shopping,130.89,1,completed,ma,checking,paid_search,low_risk
T000194,U0337,2023-07-22,2023,2023-07,starbucks,food & dining,451.44,1,completed,az,checking,paid_search,medium_risk
T000195,U0071,2023-12-06,2023,2023-12,delta airlines,travel,63.02,1,pending,ny,checking,paid_social,medium_risk
T000196,U0319,2024-08-10,2024,2024-08,mcdonalds,food & dining,217.71,1,completed,co,premium,referral,medium_risk
T000197,U0322,2024-01-27,2024,2024-01,venmo,transfer,1372.76,1,completed,co,savings,influencer,low_risk
T000198,U0239,2023-10-09,2023,2023-10,spotify,entertainment,141.37,1,completed,ny,checking,referral,medium_risk
T000199,U0081,2024-09-26,2024,2024-09,uber eats,food & dining,309.25,1,completed,ny,savings,influencer,low_risk
T000200,U0260,2024-07-17,2024,2024-07,cash app,transfer,968.48,1,completed,ca,checking,organic,medium_risk
T000201,U0006,2024-03-05,2024,2024-03,employer direct deposit,income,2396.2,0,completed,ca,checking,paid_search,high_risk
T000202,U0251,2023-01-20,2023,2023-01,espn+,entertainment,494.72,1,completed,ma,savings,organic,medium_risk
T000203,U0031,2024-07-11,2024,2024-07,national grid,utilities,391.15,1,completed,az,checking,referral,medium_risk
T000204,U0019,2023-10-04,2023,2023-10,national grid,utilities,91.55,1,completed,fl,premium,paid_social,low_risk
T000206,U0241,2023-08-27,2023,2023-08,t-mobile,utilities,487.04,1,completed,ca,savings,influencer,medium_risk
T000207,U0483,2024-06-30,2024,2024-06,steam,entertainment,408.51,1,pending,ga,savings,influencer,medium_risk
T000208,U0435,2024-08-12,2024,2024-08,mcdonalds,food & dining,423.56,1,completed,ga,premium,paid_search,medium_risk
T000209,U0016,2023-06-30,2023,2023-06,at&t,utilities,119.8,1,completed,tx,savings,paid_search,low_risk
T000210,U0487,2023-01-29,2023,2023-01,t-mobile,utilities,352.32,1,completed,co,checking,influencer,medium_risk
T000211,U0063,2023-07-12,2023,2023-07,marriott,travel,418.68,1,completed,az,premium,paid_social,low_risk
T000212,U0272,2023-11-13,2023,2023-11,bank transfer,transfer,367.6,1,completed,ga,premium,referral,medium_risk
T000213,U0237,2024-09-08,2024,2024-09,mcdonalds,food & dining,110.97,1,completed,ga,premium,paid_social,medium_risk
T000214,U0196,2024-09-20,2024,2024-09,chipotle,food & dining,102.33,1,completed,wa,savings,paid_search,medium_risk
T000215,U0304,2023-03-02,2023,2023-03,uber,travel,12.91,1,completed,tx,premium,paid_search,medium_risk
T000216,U0467,2024-06-22,2024,2024-06,delta airlines,travel,430.61,1,pending,il,savings,paid_search,medium_risk
T000217,U0497,2024-08-23,2024,2024-08,national grid,utilities,52.31,1,completed,fl,checking,organic,medium_risk
T000218,U0357,2024-03-23,2024,2024-03,airbnb,travel,396.34,1,pending,fl,premium,referral,low_risk
T000219,U0183,2024-12-25,2024,2024-12,at&t,utilities,484.43,1,completed,ga,savings,paid_search,low_risk
T000220,U0463,2024-11-12,2024,2024-11,at&t,utilities,295.3,1,completed,az,checking,influencer,low_risk
T000221,U0433,2023-05-11,2023,2023-05,zocdoc,healthcare,90.5,1,completed,tx,savings,influencer,medium_risk
T000222,U0363,2023-02-03,2023,2023-02,venmo transfer,income,2274.57,0,completed,ny,premium,paid_social,low_risk
T000223,U0151,2023-04-17,2023,2023-04,espn+,entertainment,468.47,1,completed,ga,checking,influencer,medium_risk
T000224,U0244,2023-12-22,2023,2023-12,target,shopping,491.23,1,completed,ga,savings,influencer,medium_risk
T000225,U0137,2024-04-02,2024,2024-04,walmart,shopping,7.68,1,completed,tx,savings,organic,low_risk
T000226,U0274,2023-09-20,2023,2023-09,walmart,shopping,393.94,1,completed,il,savings,paid_social,low_risk
T000227,U0360,2024-03-24,2024,2024-03,doordash,food & dining,366.83,1,pending,ga,premium,influencer,medium_risk
T000228,U0151,2024-01-23,2024,2024-01,freelance payment,income,3458.62,0,completed,ga,checking,influencer,medium_risk
T000229,U0128,2024-10-28,2024,2024-10,bank transfer,transfer,1521.32,1,completed,tx,savings,referral,medium_risk
T000230,U0003,2023-02-04,2023,2023-02,venmo,transfer,603.92,1,completed,ca,checking,organic,medium_risk
T000231,U0290,2023-12-17,2023,2023-12,amazon,shopping,86.71,1,completed,az,premium,organic,medium_risk
T000233,U0082,2024-03-17,2024,2024-03,venmo,transfer,1886.04,1,completed,az,premium,referral,medium_risk
T000234,U0211,2023-02-24,2023,2023-02,employer direct deposit,income,1708.8,0,completed,tx,premium,influencer,medium_risk
T000235,U0162,2024-12-14,2024,2024-12,amc theatres,entertainment,277.95,1,pending,ca,premium,influencer,low_risk
T000236,U0184,2023-11-01,2023,2023-11,zocdoc,healthcare,120.3,1,completed,ma,premium,paid_social,medium_risk
T000237,U0211,2023-02-25,2023,2023-02,paypal,transfer,734.44,1,completed,tx,premium,influencer,medium_risk
T000238,U0018,2024-05-06,2024,2024-05,cigna,healthcare,101.44,1,completed,fl,checking,paid_social,medium_risk
T000239,U0158,2023-03-25,2023,2023-03,uber,travel,237.84,1,completed,fl,checking,referral,medium_risk
T000240,U0435,2024-05-15,2024,2024-05,freelance payment,income,7264.14,0,completed,ga,premium,paid_search,medium_risk
T000241,U0119,2024-01-15,2024,2024-01,employer direct deposit,income,7198.45,0,completed,il,premium,paid_search,low_risk
T000242,U0170,2023-09-27,2023,2023-09,venmo,transfer,890.69,1,completed,az,premium,referral,low_risk
T000243,U0076,2023-03-05,2023,2023-03,cigna,healthcare,77.26,1,completed,tx,premium,paid_search,medium_risk
T000244,U0153,2024-11-15,2024,2024-11,amazon,shopping,173.21,1,completed,co,premium,paid_search,medium_risk
T000245,U0463,2023-03-04,2023,2023-03,espn+,entertainment,420.72,1,completed,az,checking,influencer,low_risk
T000246,U0162,2024-12-04,2024,2024-12,venmo transfer,income,7068.26,0,completed,ca,premium,influencer,low_risk
T000247,U0222,2023-11-03,2023,2023-11,amc theatres,entertainment,41.32,1,pending,az,premium,referral,medium_risk
T000248,U0106,2024-08-07,2024,2024-08,uber eats,food & dining,450.43,1,completed,az,checking,paid_search,low_risk
T000250,U0100,2023-05-10,2023,2023-05,spotify,entertainment,23.25,1,completed,wa,savings,referral,medium_risk
T000251,U0371,2024-10-04,2024,2024-10,employer direct deposit,income,2035.15,0,completed,ma,premium,paid_search,low_risk
T000252,U0003,2023-03-31,2023,2023-03,comcast,utilities,195.27,1,completed,ca,checking,organic,medium_risk
