transaction_id,user_id,date,merchant,category,amount,is_debit,status
T000041,U0027,2024-12-20,Starbucks,Food & Dining,87.35,1,completed
T000042,U0117,2023-12-06,Venmo Transfer,Income,4961.0,0,completed
T000043,U0209,2023-02-13,Apple Store,Shopping,116.42,1,pending
T000044,U0125,2023-02-17,Zelle,Transfer,1849.84,1,completed
T000045,U0210,2024-07-31,Cigna,Healthcare,329.74,1,completed
T000046,U0088,2023-08-01,Comcast,Utilities,294.34,1,completed
T000047,U0071,2023-11-03,Employer Direct Deposit,Income,2137.15,0,completed
T000048,U0495,2024-07-07,Venmo Transfer,Income,3322.11,0,completed
T000049,U0094,2024-05-27,Delta Airlines,Travel,373.24,1,completed
T000050,U0012,2023-08-26,Nike,Shopping,419.66,1,completed
T000051,U0068,2023-01-31,Freelance Payment,Income,5438.86,0,completed
T000052,U0099,2023-08-22,Cash App,Transfer,724.51,1,pending
T000053,U0162,2024-11-27,Employer Direct Deposit,Income,5101.13,0,completed
T000054,U0174,2023-03-17,Walgreens,Healthcare,42.85,1,completed
T000055,U0113,2023-11-21,Lyft,Travel,181.63,1,completed
T000056,U0156,2024-01-04,One Medical,Healthcare,381.15,1,completed
T000057,U0364,2024-03-17,Target,Shopping,225.52,1,completed
T000058,U0234,2023-01-27,Employer Direct Deposit,Income,1627.33,0,completed
T000059,U0071,2023-01-13,National Grid,Utilities,147.34,1,completed
T000060,U0462,2023-09-06,Apple Store,Shopping,286.84,1,completed
T000061,U0451,2023-05-23,Employer Direct Deposit,Income,2882.43,0,completed
T000062,U0302,2023-06-21,Delta Airlines,Travel,218.47,1,completed
T000063,U0320,2024-01-05,Venmo,Transfer,518.37,1,completed
T000064,U0222,2024-09-23,Bank Transfer,Transfer,407.19,1,completed
T000065,U0120,2024-02-10,CVS Pharmacy,Healthcare,167.44,1,completed
T000066,U0151,2023-12-09,National Grid,Utilities,216.45,1,completed
T000067,U0228,2023-11-25,Uber,Travel,302.4,1,completed
T000068,U0471,2023-07-01,Zelle,Transfer,1929.86,1,pending
T000069,U0400,2024-08-12,One Medical,Healthcare,391.42,1,completed
T000070,U0030,2024-01-09,One Medical,Healthcare,58.72,1,completed
T000071,U0099,2023-01-28,Marriott,Travel,476.6,1,completed
T000072,U0162,2023-10-26,AMC Theatres,Entertainment,415.98,1,completed
T000073,U0429,2024-05-26,Venmo Transfer,Income,1974.25,0,completed
T000074,U0003,2024-03-09,Walgreens,Healthcare,394.96,1,completed
T000075,U0184,2024-02-15,Bank Transfer,Transfer,1078.05,1,pending
T000076,U0389,2023-02-07,Venmo Transfer,Income,6535.05,0,completed
T000077,U0176,2023-09-12,Amazon,Shopping,329.49,1,completed
T000078,U0229,2024-10-22,Uber Eats,Food & Dining,339.38,1,completed
T000079,U0082,2023-04-19,National Grid,Utilities,7.25,1,completed
T000080,U0331,2024-01-19,AMC Theatres,Entertainment,196.78,1,completed
T000081,U0245,2023-01-26,Uber,Travel,242.42,1,completed
T000082,U0096,2023-05-26,Amazon,Shopping,175.47,1,completed
T000083,U0035,2024-05-09,ESPN+,Entertainment,175.45,1,completed
T000084,U0045,2023-03-10,Zelle,Transfer,614.52,1,completed
T000085,U0035,2023-12-18,Amazon,Shopping,324.69,1,completed
T000086,U0290,2024-06-12,Airbnb,Travel,88.88,1,completed
T000087,U0195,2023-08-26,Freelance Payment,Income,6584.29,0,completed
T000088,U0406,2024-02-10,Lyft,Travel,16.54,1,completed
T000089,U0131,2024-08-29,AMC Theatres,Entertainment,215.92,1,completed
T000090,U0049,2023-10-13,Spotify,Entertainment,376.66,1,completed
T000091,U0135,2023-04-15,Apple Store,Shopping,400.15,1,completed
T000092,U0472,2023-07-21,Con Edison,Utilities,229.86,1,completed
T000093,U0454,2024-10-16,Bank Transfer,Transfer,640.54,1,completed
T000094,U0068,2023-04-27,Venmo Transfer,Income,3435.47,0,completed
T000095,U0052,2024-09-21,Uber,Travel,295.9,1,completed
T000096,U0147,2023-09-02,Comcast,Utilities,154.08,1,completed
T000097,U0243,2024-02-02,Marriott,Travel,210.28,1,completed
T000098,U0001,2023-07-10,Freelance Payment,Income,4406.69,0,completed
T000099,U0254,2023-06-20,Marriott,Travel,245.84,1,completed
T000100,U0064,2024-09-26,National Grid,Utilities,28.7,1,completed
T000101,U0308,2023-05-20,DoorDash,Food & Dining,99.17,1,completed
T000102,U0350,2024-12-02,Cash App,Transfer,993.62,1,completed
T000103,U0388,2023-06-21,Cash App,Transfer,183.69,1,completed
T000104,U0022,2023-02-03,Steam,Entertainment,138.88,1,completed
T000105,U0355,2024-08-02,Lyft,Travel,371.77,1,completed
T000106,U0228,2023-04-27,Apple Store,Shopping,135.41,1,completed
T000107,U0375,2023-02-12,T-Mobile,Utilities,380.48,1,completed
T000108,U0358,2023-04-15,AMC Theatres,Entertainment,368.52,1,completed
T000109,U0457,2023-02-03,Steam,Entertainment,225.97,1,completed
T000110,U0217,2023-05-01,Nike,Shopping,388.26,1,completed
T000111,U0388,2024-10-09,T-Mobile,Utilities,215.23,1,completed
T000112,U0369,2023-03-02,Spotify,Entertainment,285.9,1,completed
T000113,U0487,2024-12-21,Uber,Travel,147.73,1,completed
T000114,U0084,2024-02-26,Target,Shopping,459.55,1,failed
T000115,U0044,2023-09-13,Airbnb,Travel,74.83,1,completed
T000116,U0447,2024-05-16,AMC Theatres,Entertainment,72.8,1,completed
T000117,U0158,2024-04-07,Freelance Payment,Income,1528.61,0,completed
T000118,U0333,2024-06-11,Nike,Shopping,375.4,1,completed
T000119,U0225,2024-05-14,National Grid,Utilities,164.99,1,completed
T000120,U0102,2024-10-12,Nike,Shopping,332.74,1,completed
T000121,U0293,2024-02-12,Apple Store,Shopping,110.48,1,completed
T000122,U0094,2023-10-02,AMC Theatres,Entertainment,162.79,1,completed
T000123,U0416,2024-05-11,Marriott,Travel,394.58,1,completed
T000124,U0346,2023-04-12,Starbucks,Food & Dining,313.84,1,completed
T000125,U0295,2023-06-11,Starbucks,Food & Dining,221.76,1,completed
T000126,U0226,2024-12-06,Employer Direct Deposit,Income,7365.85,0,completed
T000127,U0463,2023-10-08,Walgreens,Healthcare,48.48,1,completed
T000128,U0277,2024-11-11,Walmart,Shopping,452.09,1,completed
T000129,U0249,2023-11-09,Venmo Transfer,Income,6081.92,0,completed
T000130,U0158,2023-04-04,Venmo Transfer,Income,5925.89,0,completed
T000131,U0266,2023-05-16,Venmo,Transfer,1195.49,1,completed
T000132,U0123,2023-01-09,Venmo,Transfer,1397.28,1,completed
T000133,U0334,2023-05-16,Venmo Transfer,Income,4343.9,0,completed
T000134,U0082,2023-04-16,Amazon,Shopping,158.05,1,completed
T000135,U0031,2023-05-17,Lyft,Travel,321.5,1,completed
T000136,U0454,2024-07-30,Apple Store,Shopping,6.22,1,completed
T000137,U0217,2023-08-07,Zelle,Transfer,1263.6,1,completed
T000138,U0199,2024-12-04,Venmo Transfer,Income,4096.69,0,completed
T000139,U0058,2023-05-07,Target,Shopping,295.61,1,completed
T000140,U0142,2023-05-24,Freelance Payment,Income,2734.5,0,completed
T000141,U0297,2024-09-07,ESPN+,Entertainment,300.8,1,completed
T000142,U0206,2023-07-30,Chipotle,Food & Dining,259.84,1,completed
T000143,U0308,2024-10-23,Freelance Payment,Income,1381.98,0,completed
T000144,U0339,2024-01-31,AMC Theatres,Entertainment,58.15,1,completed
T000145,U0321,2023-01-13,Apple Store,Shopping,493.47,1,pending
T000146,U0008,2024-08-05,Lyft,Travel,211.59,1,completed
T000147,U0010,2023-03-16,Lyft,Travel,10.31,1,completed
T000148,U0016,2023-02-10,Walgreens,Healthcare,461.44,1,pending
T000149,U0216,2023-10-21,Venmo Transfer,Income,5399.99,0,completed
T000150,U0013,2024-12-19,Freelance Payment,Income,3815.94,0,completed
T000151,U0227,2023-03-27,Uber,Travel,156.33,1,completed
T000152,U0500,2024-07-03,Spotify,Entertainment,164.72,1,completed
T000153,U0381,2024-12-16,Walmart,Shopping,219.87,1,pending
T000154,U0281,2023-09-08,Netflix,Entertainment,44.93,1,completed
T000155,U0127,2024-09-15,Bank Transfer,Transfer,128.96,1,completed
T000156,U0337,2023-01-13,Delta Airlines,Travel,354.53,1,completed
T000157,U0185,2023-12-22,Lyft,Travel,262.46,1,completed
T000158,U0041,2024-01-16,Walgreens,Healthcare,65.21,1,completed
T000159,U0334,2023-01-31,CVS Pharmacy,Healthcare,168.84,1,completed
T000160,U0294,2024-12-30,Walmart,Shopping,487.58,1,completed
T000161,U0054,2024-06-07,Cash App,Transfer,733.05,1,completed
T000162,U0093,2023-06-11,Uber,Travel,129.05,1,completed
T000163,U0020,2024-06-05,Target,Shopping,3.28,1,completed
T000164,U0252,2023-02-17,McDonalds,Food & Dining,236.94,1,completed
T000165,U0429,2023-02-06,Airbnb,Travel,277.33,1,pending
T000166,U0488,2023-11-26,Employer Direct Deposit,Income,2737.84,0,pending
T000167,U0354,2023-03-21,Con Edison,Utilities,286.62,1,completed
T000168,U0306,2023-08-17,McDonalds,Food & Dining,402.56,1,failed
T000169,U0186,2024-04-21,Employer Direct Deposit,Income,7062.23,0,completed
T000170,U0373,2023-03-30,ZocDoc,Healthcare,277.44,1,completed
T000171,U0032,2024-07-31,Steam,Entertainment,392.68,1,completed
T000172,U0165,2024-01-13,AMC Theatres,Entertainment,296.66,1,completed
T000173,U0070,2023-09-09,ESPN+,Entertainment,76.98,1,pending
T000174,U0211,2024-07-08,McDonalds,Food & Dining,174.52,1,completed
T000175,U0104,2023-01-02,Chipotle,Food & Dining,379.95,1,completed
T000176,U0179,2023-07-30,CVS Pharmacy,Healthcare,265.85,1,completed
T000177,U0428,2023-05-26,Venmo,Transfer,1429.07,1,completed
T000178,U0427,2024-02-27,ESPN+,Entertainment,351.02,1,completed
T000179,U0152,2023-04-08,Apple Store,Shopping,253.7,1,completed
T000180,U0218,2024-08-29,Employer Direct Deposit,Income,4974.75,0,completed
T000181,U0126,2023-10-26,Airbnb,Travel,131.97,1,completed
T000182,U0246,2023-12-01,Venmo Transfer,Income,3226.4,0,completed
T000183,U0308,2023-05-20,Target,Shopping,390.41,1,completed
T000184,U0057,2023-06-18,Delta Airlines,Travel,225.88,1,completed
T000185,U0102,2024-01-02,Apple Store,Shopping,482.39,1,completed
T000186,U0023,2023-09-29,One Medical,Healthcare,426.54,1,completed
T000187,U0438,2023-02-11,Cigna,Healthcare,109.08,1,completed
T000188,U0355,2024-12-29,Delta Airlines,Travel,125.61,1,completed
T000189,U0229,2023-09-24,Chipotle,Food & Dining,410.4,1,completed
T000190,U0249,2024-07-23,Freelance Payment,Income,6236.55,0,completed
T000191,U0469,2023-05-24,Venmo,Transfer,260.48,1,completed
T000192,U0350,2023-07-22,Spotify,Entertainment,412.19,1,completed
T000193,U0301,2024-08-23,Apple Store,Shopping,130.89,1,completed
T000194,U0337,2023-07-22,Starbucks,Food & Dining,451.44,1,completed
T000195,U0071,2023-12-06,Delta Airlines,Travel,63.02,1,pending
T000196,U0319,2024-08-10,McDonalds,Food & Dining,217.71,1,completed
T000197,U0322,2024-01-27,Venmo,Transfer,1372.76,1,completed
T000198,U0239,2023-10-09,Spotify,Entertainment,141.37,1,completed
T000199,U0081,2024-09-26,Uber Eats,Food & Dining,309.25,1,completed
T000200,U0260,2024-07-17,Cash App,Transfer,968.48,1,completed
T000201,U0006,2024-03-05,Employer Direct Deposit,Income,2396.2,0,completed
T000202,U0251,2023-01-20,ESPN+,Entertainment,494.72,1,completed
T000203,U0031,2024-07-11,National Grid,Utilities,391.15,1,completed
T000204,U0019,2023-10-04,National Grid,Utilities,91.55,1,completed
T000205,U0060,2023-10-15,Netflix,Entertainment,31.18,1,failed
T000206,U0241,2023-08-27,T-Mobile,Utilities,487.04,1,completed
T000207,U0483,2024-06-30,Steam,Entertainment,408.51,1,pending
T000208,U0435,2024-08-12,McDonalds,Food & Dining,423.56,1,completed
T000209,U0016,2023-06-30,AT&T,Utilities,119.8,1,completed
T000210,U0487,2023-01-29,T-Mobile,Utilities,352.32,1,completed
T000211,U0063,2023-07-12,Marriott,Travel,418.68,1,completed
T000212,U0272,2023-11-13,Bank Transfer,Transfer,367.6,1,completed
T000213,U0237,2024-09-08,McDonalds,Food & Dining,110.97,1,completed
T000214,U0196,2024-09-20,Chipotle,Food & Dining,102.33,1,completed
T000215,U0304,2023-03-02,Uber,Travel,12.91,1,completed
T000216,U0467,2024-06-22,Delta Airlines,Travel,430.61,1,pending
T000217,U0497,2024-08-23,National Grid,Utilities,52.31,1,completed
T000218,U0357,2024-03-23,Airbnb,Travel,396.34,1,pending
T000219,U0183,2024-12-25,AT&T,Utilities,484.43,1,completed
T000220,U0463,2024-11-12,AT&T,Utilities,295.3,1,completed
T000221,U0433,2023-05-11,ZocDoc,Healthcare,90.5,1,completed
T000222,U0363,2023-02-03,Venmo Transfer,Income,2274.57,0,completed
T000223,U0151,2023-04-17,ESPN+,Entertainment,468.47,1,completed
T000224,U0244,2023-12-22,Target,Shopping,491.23,1,completed
T000225,U0137,2024-04-02,Walmart,Shopping,7.68,1,completed
T000226,U0274,2023-09-20,Walmart,Shopping,393.94,1,completed
T000227,U0360,2024-03-24,DoorDash,Food & Dining,366.83,1,pending
T000228,U0151,2024-01-23,Freelance Payment,Income,3458.62,0,completed
T000229,U0128,2024-10-28,Bank Transfer,Transfer,1521.32,1,completed
T000230,U0003,2023-02-04,Venmo,Transfer,603.92,1,completed
T000231,U0290,2023-12-17,Amazon,Shopping,86.71,1,completed
T000232,U0107,2023-04-06,Apple Store,Shopping,170.3,1,failed
T000233,U0082,2024-03-17,Venmo,Transfer,1886.04,1,completed
T000234,U0211,2023-02-24,Employer Direct Deposit,Income,1708.8,0,completed
T000235,U0162,2024-12-14,AMC Theatres,Entertainment,277.95,1,pending
T000236,U0184,2023-11-01,ZocDoc,Healthcare,120.3,1,completed
T000237,U0211,2023-02-25,PayPal,Transfer,734.44,1,completed
T000238,U0018,2024-05-06,Cigna,Healthcare,101.44,1,completed
T000239,U0158,2023-03-25,Uber,Travel,237.84,1,completed
T000240,U0435,2024-05-15,Freelance Payment,Income,7264.14,0,completed
T000241,U0119,2024-01-15,Employer Direct Deposit,Income,7198.45,0,completed
T000242,U0170,2023-09-27,Venmo,Transfer,890.69,1,completed
T000243,U0076,2023-03-05,Cigna,Healthcare,77.26,1,completed
T000244,U0153,2024-11-15,Amazon,Shopping,173.21,1,completed
T000245,U0463,2023-03-04,ESPN+,Entertainment,420.72,1,completed
T000246,U0162,2024-12-04,Venmo Transfer,Income,7068.26,0,completed
T000247,U0222,2023-11-03,AMC Theatres,Entertainment,41.32,1,pending
T000248,U0106,2024-08-07,Uber Eats,Food & Dining,450.43,1,completed
T000249,U0123,2024-04-04,Delta Airlines,Travel,88.09,1,failed
T000250,U0100,2023-05-10,Spotify,Entertainment,23.25,1,completed
T000251,U0371,2024-10-04,Employer Direct Deposit,Income,2035.15,0,completed
T000252,U0003,2023-03-31,Comcast,Utilities,195.27,1,completed
T000253,U0089,2024-06-16,Con Edison,Utilities,230.16,1,completed
T000254,U0147,2024-02-29,Employer Direct Deposit,Income,2047.5,0,completed
T000255,U0385,2024-07-30,Amazon,Shopping,390.21,1,completed
T000256,U0177,2023-09-28,National Grid,Utilities,192.76,1,completed
T000257,U0073,2023-06-26,Venmo,Transfer,565.32,1,completed
T000258,U0159,2024-02-10,Employer Direct Deposit,Income,7227.02,0,completed
T000259,U0368,2024-05-01,Netflix,Entertainment,460.58,1,completed
T000260,U0305,2023-11-07,Chipotle,Food & Dining,156.85,1,completed
T000261,U0164,2023-05-18,Target,Shopping,151.64,1,completed
T000262,U0347,2024-03-02,Con Edison,Utilities,303.28,1,completed
T000263,U0124,2024-02-21,PayPal,Transfer,1487.07,1,completed
T000264,U0200,2024-06-11,Comcast,Utilities,396.16,1,completed
T000265,U0465,2024-06-20,Employer Direct Deposit,Income,7155.33,0,completed
T000266,U0091,2023-03-01,Spotify,Entertainment,126.25,1,completed
T000267,U0281,2023-10-08,AT&T,Utilities,185.44,1,completed
T000268,U0093,2023-05-07,Venmo Transfer,Income,5768.22,0,completed
T000269,U0303,2024-04-01,Bank Transfer,Transfer,371.62,1,completed
T000270,U0018,2023-06-17,Con Edison,Utilities,419.15,1,completed
T000271,U0130,2023-01-29,Walmart,Shopping,194.51,1,completed
T000272,U0049,2024-10-24,Spotify,Entertainment,114.11,1,completed
T000273,U0126,2023-01-21,Venmo Transfer,Income,7052.41,0,pending
T000274,U0365,2023-05-16,DoorDash,Food & Dining,324.39,1,completed
T000275,U0035,2023-09-16,McDonalds,Food & Dining,304.96,1,pending
T000276,U0325,2024-01-21,One Medical,Healthcare,426.09,1,completed
T000277,U0198,2023-11-06,AMC Theatres,Entertainment,339.24,1,completed
T000278,U0416,2023-04-15,Venmo Transfer,Income,1051.43,0,failed
T000279,U0325,2024-10-24,T-Mobile,Utilities,297.7,1,completed
T000280,U0167,2023-03-07,Nike,Shopping,169.47,1,completed
T000281,U0001,2023-09-25,Con Edison,Utilities,328.75,1,pending
T000282,U0085,2023-06-03,Walgreens,Healthcare,259.61,1,completed
T000283,U0239,2024-02-18,Uber Eats,Food & Dining,330.94,1,completed
T000284,U0166,2023-10-30,DoorDash,Food & Dining,131.19,1,completed
T000285,U0242,2023-02-06,Venmo Transfer,Income,5081.17,0,failed
T000286,U0401,2023-08-16,Steam,Entertainment,343.79,1,completed
T000287,U0016,2024-06-03,Zelle,Transfer,614.39,1,completed
T000288,U0363,2023-04-10,Uber,Travel,236.45,1,completed
T000289,U0317,2024-11-01,Uber,Travel,46.47,1,completed
T000290,U0245,2023-12-06,One Medical,Healthcare,187.1,1,completed
T000291,U0154,2024-04-26,Venmo,Transfer,126.28,1,completed
T000292,U0156,2023-07-19,Nike,Shopping,251.24,1,completed
T000293,U0429,2023-11-02,Venmo Transfer,Income,3891.75,0,completed
T000294,U0482,2023-07-25,Airbnb,Travel,172.65,1,failed
T000295,U0257,2023-11-20,PayPal,Transfer,1727.54,1,completed
T000296,U0311,2023-12-07,Nike,Shopping,316.25,1,completed
T000297,U0480,2024-04-07,Starbucks,Food & Dining,138.22,1,completed
T000298,U0049,2023-06-12,Marriott,Travel,245.81,1,completed
T000299,U0192,2024-09-21,Target,Shopping,217.99,1,completed
T000300,U0193,2024-01-28,Freelance Payment,Income,1032.68,0,completed
T000301,U0157,2023-11-26,Comcast,Utilities,378.91,1,completed
T000302,U0197,2024-10-03,Starbucks,Food & Dining,367.33,1,completed
T000303,U0103,2023-05-13,Con Edison,Utilities,53.15,1,completed
T000304,U0115,2023-03-08,Walgreens,Healthcare,412.27,1,completed
T000305,U0363,2024-06-16,One Medical,Healthcare,298.99,1,completed
T000306,U0464,2024-05-16,Uber,Travel,180.91,1,completed
T000307,U0056,2023-08-22,Employer Direct Deposit,Income,2570.25,0,failed
T000308,U0423,2024-08-26,Netflix,Entertainment,253.31,1,completed
T000309,U0180,2024-10-17,DoorDash,Food & Dining,129.38,1,completed
T000310,U0306,2023-02-19,Uber Eats,Food & Dining,331.66,1,completed
T000311,U0312,2024-12-07,Starbucks,Food & Dining,59.66,1,completed
T000312,U0092,2023-09-16,Apple Store,Shopping,238.25,1,completed
T000313,U0372,2024-03-06,Chipotle,Food & Dining,331.51,1,completed
T000314,U0268,2024-09-12,Cigna,Healthcare,350.96,1,completed
T000315,U0046,2024-09-24,Apple Store,Shopping,60.63,1,completed
T000316,U0162,2023-07-23,Nike,Shopping,305.28,1,completed
T000317,U0500,2024-12-21,Steam,Entertainment,206.06,1,completed
T000318,U0358,2024-12-05,PayPal,Transfer,1867.59,1,completed
T000319,U0078,2024-11-18,Starbucks,Food & Dining,46.32,1,completed
T000320,U0298,2023-04-03,PayPal,Transfer,1563.46,1,completed
T000321,U0277,2024-10-21,Walmart,Shopping,117.12,1,failed
T000322,U0149,2024-04-20,ZocDoc,Healthcare,26.94,1,completed
T000323,U0181,2024-01-04,Chipotle,Food & Dining,401.19,1,completed
T000324,U0141,2023-02-16,Amazon,Shopping,6.82,1,completed
T000325,U0434,2024-01-02,Uber,Travel,447.47,1,pending
T000326,U0443,2024-01-17,CVS Pharmacy,Healthcare,407.85,1,completed
T000327,U0193,2024-04-12,Freelance Payment,Income,2902.83,0,completed
T000328,U0321,2024-10-26,Cash App,Transfer,1774.53,1,completed
T000329,U0443,2023-06-13,Delta Airlines,Travel,53.65,1,pending
T000330,U0024,2024-11-25,Bank Transfer,Transfer,887.56,1,completed
T000331,U0073,2023-01-30,T-Mobile,Utilities,431.56,1,completed
T000332,U0274,2024-05-14,Lyft,Travel,58.24,1,completed
T000333,U0069,2023-09-25,Starbucks,Food & Dining,328.18,1,completed
T000334,U0005,2024-06-15,Steam,Entertainment,262.51,1,completed
T000335,U0348,2024-11-08,Nike,Shopping,363.87,1,completed
T000336,U0383,2024-07-25,Employer Direct Deposit,Income,7244.43,0,completed
T000337,U0244,2024-06-01,McDonalds,Food & Dining,424.73,1,completed
T000338,U0320,2024-05-18,Delta Airlines,Travel,161.68,1,completed
T000339,U0276,2024-06-03,CVS Pharmacy,Healthcare,112.91,1,completed
T000340,U0102,2023-03-22,Employer Direct Deposit,Income,4213.66,0,completed
T000341,U0490,2024-05-25,Venmo,Transfer,905.19,1,completed
T000342,U0184,2023-04-16,Venmo,Transfer,818.81,1,completed
T000343,U0434,2024-09-10,Starbucks,Food & Dining,481.66,1,completed
T000344,U0413,2023-12-16,AMC Theatres,Entertainment,182.94,1,completed
T000345,U0092,2023-12-06,AMC Theatres,Entertainment,280.96,1,completed
T000346,U0075,2024-04-08,Zelle,Transfer,245.77,1,completed
T000347,U0029,2023-12-16,Netflix,Entertainment,178.86,1,completed
T000348,U0130,2024-06-18,Cigna,Healthcare,188.2,1,completed
T000349,U0098,2023-05-24,Lyft,Travel,411.28,1,completed
T000350,U0303,2023-09-18,Employer Direct Deposit,Income,5275.96,0,completed
T000351,U0362,2024-04-13,Employer Direct Deposit,Income,6771.88,0,completed
T000352,U0031,2024-02-29,Comcast,Utilities,25.16,1,completed
T000353,U0095,2024-04-13,Nike,Shopping,329.91,1,pending
T000354,U0099,2023-01-05,Lyft,Travel,266.12,1,completed
T000355,U0310,2024-05-09,Venmo Transfer,Income,7470.6,0,completed
T000356,U0103,2023-06-27,Marriott,Travel,365.79,1,completed
T000357,U0389,2024-09-06,Venmo Transfer,Income,5243.13,0,completed
T000358,U0091,2024-09-15,Freelance Payment,Income,7411.37,0,completed
T000359,U0216,2023-12-18,One Medical,Healthcare,485.3,1,completed
T000360,U0242,2024-02-27,Airbnb,Travel,302.06,1,completed
T000361,U0330,2023-11-18,Cigna,Healthcare,356.51,1,pending
T000362,U0450,2023-08-03,Spotify,Entertainment,312.84,1,completed
T000363,U0141,2024-12-28,AT&T,Utilities,325.74,1,pending
T000364,U0491,2023-12-27,Comcast,Utilities,282.02,1,completed
T000365,U0312,2024-06-30,Venmo Transfer,Income,3001.5,0,completed
T000366,U0371,2023-04-20,Uber Eats,Food & Dining,14.59,1,completed
T000367,U0496,2023-10-01,McDonalds,Food & Dining,375.59,1,completed
T000368,U0107,2023-05-30,ZocDoc,Healthcare,420.01,1,completed
T000369,U0299,2024-07-08,Walgreens,Healthcare,18.09,1,completed
T000370,U0207,2024-11-22,Apple Store,Shopping,370.27,1,completed
T000371,U0335,2024-06-07,Employer Direct Deposit,Income,6490.15,0,completed
T000372,U0011,2024-01-26,CVS Pharmacy,Healthcare,195.0,1,pending
T000373,U0171,2023-02-25,T-Mobile,Utilities,8.46,1,completed
T000374,U0220,2024-10-10,PayPal,Transfer,1415.17,1,completed
T000375,U0097,2023-10-29,Spotify,Entertainment,225.51,1,failed
T000376,U0199,2023-06-27,Target,Shopping,368.07,1,completed
T000377,U0403,2023-10-13,DoorDash,Food & Dining,279.19,1,completed
T000378,U0116,2023-12-05,CVS Pharmacy,Healthcare,234.23,1,pending
T000379,U0349,2023-11-27,McDonalds,Food & Dining,299.25,1,completed
T000380,U0407,2024-08-09,One Medical,Healthcare,275.98,1,completed
T000381,U0315,2023-08-14,T-Mobile,Utilities,478.58,1,completed
T000382,U0301,2024-07-10,Lyft,Travel,269.44,1,completed
T000383,U0201,2024-11-10,Spotify,Entertainment,167.28,1,completed
T000384,U0209,2024-06-27,ESPN+,Entertainment,238.48,1,completed
T000385,U0432,2024-11-15,Starbucks,Food & Dining,174.31,1,completed
T000386,U0477,2024-11-29,Netflix,Entertainment,443.06,1,completed
T000387,U0231,2023-09-20,Nike,Shopping,271.04,1,completed
T000388,U0099,2024-06-04,T-Mobile,Utilities,223.89,1,completed
T000389,U0049,2024-06-10,Steam,Entertainment,43.01,1,completed
T000390,U0041,2023-08-04,Starbucks,Food & Dining,335.83,1,completed
T000391,U0273,2023-07-30,Employer Direct Deposit,Income,4764.28,0,completed
T000392,U0011,2023-03-15,Venmo Transfer,Income,6228.24,0,completed
